Date,Region,Disease,Temperature_C,Rainfall_mm,Humidity_Percent,Population_Density,Case_Count
2023-02-03,South America,Influenza,35.15,55.85,81.23,2000,50
2023-02-04,Africa,Cholera,32.96,52.98,85.89,150,19
2023-02-05,Europe,Dengue,32.25,76.28,75.67,2000,33
2023-02-06,South America,Measles,34.39,2.6,69.37,50,27
2023-02-07,North America,Dengue,30.62,69.43,73.45,150,21
2023-02-08,Asia,Influenza,38.06,53.23,78.33,1000,18
2023-02-09,Asia,Measles,32.03,63.33,72.24,150,37
2023-02-10,Southeast Asia,Tuberculosis,31.86,51.25,74.98,5000,36
2023-02-11,North America,Malaria,33.62,28.27,82.1,2000,15
2023-02-12,Middle East,COVID-19,34.29,1.21,71.35,300,35
2023-02-13,Europe,Cholera,35.88,65.14,77.41,5000,18
2023-02-14,Oceania,Dengue,29.22,38.4,75.69,50,36
2023-02-15,Middle East,Dengue,34.69,7.11,79.61,300,16
2023-02-16,Oceania,Tuberculosis,31.63,78.35,83.15,5000,29
2023-02-17,North America,Typhoid,31.14,50.72,79.65,1000,20
2023-02-18,South America,Measles,32.22,54.43,72.46,50,21
2023-02-19,Africa,COVID-19,36.1,100.69,77.63,1000,42
2023-02-20,Asia,Dengue,34.75,40.65,79.8,50,42
2023-02-21,Asia,Tuberculosis,33.55,106.94,64.89,50,29
2023-02-22,Asia,Dengue,33.92,51.03,78.45,500,12
2023-02-23,Africa,Typhoid,33.0,70.71,85.38,2000,17
2023-02-24,Oceania,Malaria,31.23,44.95,82.57,300,32
2023-02-25,Oceania,Cholera,32.07,75.4,78.48,2000,27
2023-02-26,Africa,Dengue,31.55,50.17,76.03,1000,17
2023-02-27,Europe,Cholera,34.55,67.83,78.02,150,17
2023-02-28,Southeast Asia,Measles,29.41,47.38,76.28,300,27
2023-03-01,Asia,COVID-19,34.52,112.12,89.43,5000,39
2023-03-02,North America,Cholera,35.77,97.77,70.41,5000,26
2023-03-03,North America,COVID-19,35.18,173.9,79.04,500,35
2023-03-04,Africa,Dengue,34.9,64.94,85.71,150,44
2023-03-05,Oceania,Cholera,37.37,72.72,87.01,2000,11
2023-03-06,Southeast Asia,Measles,36.76,165.71,75.05,2000,27
2023-03-07,Southeast Asia,Malaria,35.3,84.9,72.25,300,43
2023-03-08,Europe,Cholera,31.81,114.21,75.4,2000,42
2023-03-09,Africa,Measles,32.65,90.34,84.07,1000,21
2023-03-10,Middle East,COVID-19,35.68,139.21,71.96,150,34
2023-03-11,Europe,Typhoid,35.78,123.45,73.82,50,17
2023-03-12,North America,Dengue,36.57,108.91,81.25,150,55
2023-03-13,Europe,Measles,32.96,106.97,81.47,1000,27
2023-03-14,South America,Measles,40.6,114.21,74.04,500,36
2023-03-15,Southeast Asia,Tuberculosis,32.08,123.61,85.79,1000,17
2023-03-16,North America,Dengue,37.89,112.38,84.11,2000,80
2023-03-17,Africa,COVID-19,34.26,77.39,75.55,50,24
2023-03-18,Africa,Measles,34.77,110.23,81.38,150,40
2023-03-19,Southeast Asia,Influenza,35.04,143.61,78.68,2000,62
2023-03-20,Africa,Malaria,36.88,74.29,74.65,1000,45
2023-03-21,South America,Tuberculosis,34.33,121.42,82.37,5000,22
2023-03-22,Asia,Malaria,32.46,54.55,77.77,300,41
2023-03-23,Europe,Influenza,35.64,62.63,80.87,1000,37
2023-03-24,Oceania,Typhoid,32.35,104.61,80.29,50,17
2023-03-25,South America,COVID-19,36.07,116.82,85.42,5000,48
2023-03-26,Africa,Cholera,30.87,71.87,82.58,50,22
2023-03-27,Asia,Dengue,36.55,215.58,82.85,50,109
